"filename", "language", "Python", "JavaScript", "HTML", "PostCSS", "pip requirements", "JSON", "Markdown", "toml", "comment", "blank", "total"
"c:\Users\Jlowe\Desktop\PlatPursuit\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 117, 0, 0, 29, 146
"c:\Users\Jlowe\Desktop\PlatPursuit\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jlowe\Desktop\PlatPursuit\api\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jlowe\Desktop\PlatPursuit\api\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Jlowe\Desktop\PlatPursuit\api\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jlowe\Desktop\PlatPursuit\api\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jlowe\Desktop\PlatPursuit\api\serializers.py", "Python", 72, 0, 0, 0, 0, 0, 0, 0, 0, 13, 85
"c:\Users\Jlowe\Desktop\PlatPursuit\api\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jlowe\Desktop\PlatPursuit\api\urls.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Jlowe\Desktop\PlatPursuit\api\views.py", "Python", 179, 0, 0, 0, 0, 0, 0, 0, 0, 32, 211
"c:\Users\Jlowe\Desktop\PlatPursuit\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jlowe\Desktop\PlatPursuit\core\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jlowe\Desktop\PlatPursuit\core\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Jlowe\Desktop\PlatPursuit\core\management\commands\delete_unplayed_games.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Jlowe\Desktop\PlatPursuit\core\management\commands\populate_game_played_count.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Jlowe\Desktop\PlatPursuit\core\management\commands\populate_trophy_counters.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Jlowe\Desktop\PlatPursuit\core\management\commands\populate_trophy_earn_rate.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Jlowe\Desktop\PlatPursuit\core\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jlowe\Desktop\PlatPursuit\core\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jlowe\Desktop\PlatPursuit\core\services\events.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Jlowe\Desktop\PlatPursuit\core\services\featured.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 3, 5, 41
"c:\Users\Jlowe\Desktop\PlatPursuit\core\services\featured_profile.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
