"filename", "language", "Python", "HTML", "pip requirements", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\Jlowe\Desktop\PlatPursuit\core\services\featured_guide.py", "Python", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Jlowe\Desktop\PlatPursuit\core\services\featured_profile.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Jlowe\Desktop\PlatPursuit\core\templatetags\custom_filters.py", "Python", 47, 0, 0, 0, 0, 0, 11, 58
"c:\Users\Jlowe\Desktop\PlatPursuit\core\views.py", "Python", 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Jlowe\Desktop\PlatPursuit\plat_pursuit\middleware.py", "Python", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Jlowe\Desktop\PlatPursuit\plat_pursuit\settings.py", "Python", 28, 0, 0, 0, 0, 2, 5, 35
"c:\Users\Jlowe\Desktop\PlatPursuit\plat_pursuit\urls.py", "Python", 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Jlowe\Desktop\PlatPursuit\requirements.txt", "pip requirements", 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Jlowe\Desktop\PlatPursuit\static\css\input.css", "PostCSS", 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\Jlowe\Desktop\PlatPursuit\static\js\carousel.js", "JavaScript", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Jlowe\Desktop\PlatPursuit\static\js\guide_scroller.js", "JavaScript", 0, 0, 0, 68, 0, 0, 8, 76
"c:\Users\Jlowe\Desktop\PlatPursuit\static\js\profile_scroller.js", "JavaScript", 0, 0, 0, 72, 0, 0, 8, 80
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\account\login.html", "HTML", 0, 59, 0, 0, 0, 0, 1, 60
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\base.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\index.html", "HTML", 0, 1, 0, 0, 0, 1, 1, 3
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\hotbar.html", "HTML", 0, 282, 0, 0, 0, 0, 25, 307
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\index\featured-guide.html", "HTML", 0, 33, 0, 0, 0, 0, 0, 33
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\index\featured-profile.html", "HTML", 0, -3, 0, 0, 0, 0, 0, -3
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\partials\navbar.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\badge_detail.html", "HTML", 0, 28, 0, 0, 0, 0, 3, 31
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\badge_list.html", "HTML", 0, 68, 0, 0, 0, 0, 5, 73
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\game_detail.html", "HTML", 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\guide_list.html", "HTML", 0, 56, 0, 0, 0, 0, 4, 60
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\badge_detail\badge_detail_concepts.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\badge_detail\badge_detail_header.html", "HTML", 0, 66, 0, 0, 0, 0, 0, 66
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\badge_detail\badge_detail_items.html", "HTML", 0, 71, 0, 0, 0, 0, 2, 73
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\badge_list\badge_cards.html", "HTML", 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\badge_list\badge_list_items.html", "HTML", 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\game_detail\community_ratings.html", "HTML", 0, 135, 0, 0, 0, 4, 7, 146
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\game_detail\game_detail_header.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 17
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\game_detail\guide_embed.html", "HTML", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\guide_list\featured_guide.html", "HTML", 0, 33, 0, 0, 0, 0, 0, 33
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\guide_list\guide_list_items.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 23
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_detail\badge_filters.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_detail\badge_list_items.html", "HTML", 0, 32, 0, 0, 0, 0, 0, 32
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_detail\game_filters.html", "HTML", 0, 41, 0, 0, 0, 0, 3, 44
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_detail\game_list_items.html", "HTML", 0, 82, 0, 0, 0, 0, 1, 83
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_detail\profile_detail_header.html", "HTML", 0, 54, 0, 0, 0, 0, 0, 54
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_detail\trophy_list_items.html", "HTML", 0, 99, 0, 0, 0, 0, 2, 101
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_detail\trophy_log_filters.html", "HTML", 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\profile_list\profile_cards.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\trophy_case\trophy_case_items.html", "HTML", 0, 59, 0, 0, 0, 0, 0, 59
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\partials\trophy_list\trophy_list_items.html", "HTML", 0, -3, 0, 0, 0, 0, 0, -3
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\profile_detail.html", "HTML", 0, 49, 0, 0, 0, 0, 2, 51
"c:\Users\Jlowe\Desktop\PlatPursuit\templates\trophies\trophy_case.html", "HTML", 0, 72, 0, 0, 0, 0, 6, 78
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\admin.py", "Python", 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\Jlowe\Desktop\PlatPursuit\trophies\apps.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2
